company,model,application,payload_kg,reach_mm,axes,repeatability,price_inr,notes,image_file
ABB,IRB 1520ID,Arc/Miig/Tig welding,4,1500,6,±0.05 mm,₹12 – 18 lakh,"Compact, integrated dress pack",ABB_IRB_1520ID.png
ABB,IRB 1600 / 1660ID,Arc/Miig/Tig welding,6–10,1450–1900,6,±0.02 mm,₹15 – 22 lakh,"Automotive suppliers, fabrication",ABB_IRB_1600___1660ID.png
ABB,IRB 2600 / 2600ID,Arc/Mig/spot welding,12–20,1650–1850,6,±0.04 mm,₹18 – 26 lakh,High payload arc welding,ABB_IRB_2600___2600ID.jpeg
ABB,IRB 4600,Arc/Spotwelding,20,2050,6,±0.05 mm,₹22 – 32 lakh,High speed & rigidity,ABB_IRB_4600.jpeg
ABB,IRB 6700,Spot & heavy arc welding,150–300,2650–3200,6,±0.06 mm,₹30 – 45 lakh,Automotive BIW welding,ABB_IRB_6700.jpeg
ABB,IRB 7600,Heavy welding,150–500,up to 3100,6,±0.10 mm,₹45 – 70 lakh,Large structural components,ABB_IRB_7600.png
ABB,IRB 460,,110,2.4,4,±0.10 mm,₹18 – 25 lakh,High-speed end-of-line palletizing and bag/carton stacking; compact footprint for tight lines.,
ABB,IRB 660-180/3.15,,180,3.15,4,±0.15 mm,₹25 – 35 lakh,"Mid-range palletizing mostly for boxes, crates and mixed goods; versatile reach for multi-conveyor cells.",ABB_IRB_660-180_3_15.jpeg
ABB,IRB 660-250/3.15,,250,3.15,4,±0.15 mm,₹28 – 40 lakh,"Higher payload palletizing for heavier items — large boxes, bottles or bulk packaging.",ABB_IRB_660-250_3_15.jpeg
ABB,IRB 760,,450,3.18,4,±0.20 mm,₹45 – 65 lakh,"Large payload palletizing for full pallet layers — heavy loads like sacks, cartons, and industrial containers.",ABB_IRB_760.jpeg
ABB,ABB IRB 52,,7,0.475 m / 0.7 m,6,±0.15 mm,₹30 – 55 Lakh,"Compact paint robot, small & medium components, plastic & metal parts",ABB_ABB_IRB_52.jpeg
ABB,ABB IRB 5350,,7,1350 mm (with rail),6,±0.15 mm,₹35 – 65 Lakh,Door opening & interior paint positioner,ABB_ABB_IRB_5350.jpeg
ABB,ABB IRB 5400,,15,1620,6,±0.15 mm,₹60 – 90 Lakh,"General industrial paint, medium jobs",ABB_ABB_IRB_5400.png
ABB,ABB IRB 5510,,13,2560,6,±0.15 mm,₹80 Lakh – 1.2 Cr,"Medium exterior paint, automotive body panels",ABB_ABB_IRB_5510.jpeg
ABB,ABB IRB 5500-22 (FlexPainter),,13,2700 (with rail),6,±0.10–0.15 mm,₹1.0 – 1.4 Cr,Automotive exterior paint – car body,ABB_ABB_IRB_5500-22__FlexPainter.jpeg
ABB,ABB IRB 5500-23 (FlexPainter),,13,3000 (with rail),6,±0.10–0.15 mm,₹1.1 – 1.5 Cr,Large vehicle panels & heavy jobs,ABB_ABB_IRB_5500-23__FlexPainter.jpeg
ABB,ABB IRB 5500-25 (Elevated Rail),,13,Large envelope on rail,6,±0.10–0.15 mm,₹1.2 – 1.8 Cr,Rail-mounted exterior painting,
ABB,ABB IRB 5500-27 (7-Axis FlexPainter),,17,Extended flexible,6,±0.10–0.15 mm,₹1.4 – 2.2 Cr,Extra axis = high workspace flexibility,ABB_ABB_IRB_5500-27__7-Axis_FlexPainter.jpeg
ABB,ABB IRB 1300,,7–12,900 – 1400,6,±0.02–0.03 mm,₹35 – 60 Lakh*,"Compact finishing robot used for deburring, polishing, grinding, sanding on small/medium parts; excellent path accuracy & stiffness.",ABB_ABB_IRB_1300.jpeg
ABB,ABB IRB 1200,,5–10,"900 (e.g., 0.9 m)",6,±0.05–0.10 mm,₹40 – 70 Lakh*,"Mid-range general purpose robot useful for deburring, trimming, machining of cast/injection molded parts.",ABB_ABB_IRB_1200.png
ABB,ABB IRB 2400,,10–16,1550,0.857142857142857,±0.03 mm,₹55 – 90 Lakh*,"Classic robot for deburring, grinding, polishing and contour following; compact and high accuracy.",ABB_ABB_IRB_2400.jpeg
ABB,ABB IRB 4400-60,,60,1960,6,±0.15 mm,₹80 L – ₹1.4 Cr*,Larger payload & reach; suitable for heavy part deburring/grinding with force control tooling.,ABB_ABB_IRB_4400-60.jpeg
ABB,ABB IRB 6600,,225,2550,6,±0.10 mm,₹1.2 – ₹2.0 Cr*,"Large industrial robot for heavy finishing, deburring, grinding and machine tending in automotive & general industry.",
ABB,ABB IRB 6660,,100–205,1930,6,±0.07–0.11 mm,₹1.3 – ₹2.2 Cr*,Designed for machining/deburring/grinding of large castings and press parts.,ABB_ABB_IRB_6660.jpeg
ABB,ABB IRB 7600,,150–500,2550+,6,±0.10 mm,₹1.5 – ₹2.8 Cr*,"Heavy payload for large part finishing/deburring, material removal tasks.",ABB_ABB_IRB_7600.png
Fanuc,ARC Mate 50iD,Arc,7,717,6,±0.03 mm,₹12 – 16 lakh,,Fanuc_ARC_Mate_50iD.png
Fanuc,ARC Mate 50iD/7L,Arc,7,911,6,±0.03 mm,₹13 – 18 lakh,,Fanuc_ARC_Mate_50iD_7L.png
Fanuc,ARC Mate 100iD,Arc,12,1441,6,±0.02 mm,₹15 – 22 lakh,,
Fanuc,ARC Mate 100iD/8L,Arc,8,2032,6,±0.02 mm,₹16 – 24 lakh,,Fanuc_ARC_Mate_100iD_8L.jpeg
Fanuc,ARC Mate 120iD / 12L,Arc,12,2272,6,±0.02 mm,₹18 – 26 lakh,,Fanuc_ARC_Mate_120iD___12L.jpeg
Fanuc,R-2000 / M-900 series,Spot welding,100–270,2600–3200,6,±0.20 mm,₹30 – 50 lakh,,Fanuc_R-2000___M-900_series.jpeg
Fanuc,M-410iB/140H,,140,2850,5,±0.50 mm,₹25 – 35 lakh,Mid-range palletizing & handling (medium payload),Fanuc_M-410iB_140H.png
Fanuc,M-410iB/700,,700,3143,4,±0.50 mm,₹45 – 65 lakh,Heavy payload palletizing (bulk items),Fanuc_M-410iB_700.png
Fanuc,M-410iC/185,,185,3143,4,±0.30 mm,₹28 – 38 lakh,General purpose palletizing,Fanuc_M-410iC_185.png
Fanuc,M-410iC/315,,315,3143,4,±0.30 mm,₹35 – 50 lakh,Mid-heavy palletizing & stacking,Fanuc_M-410iC_315.jpeg
Fanuc,M-410iC/500,,500,3143,4,±0.30 mm,₹45 – 65 lakh,Heavy bag or boxed goods palletizing,Fanuc_M-410iC_500.jpeg
Fanuc,M-410iC/110,,110,2403,4,±0.30 mm,₹22 – 32 lakh,Compact palletizing for lighter loads,Fanuc_M-410iC_110.png
Fanuc,Mate 200iA/5L,,5,892,6,±0.03 mm,₹25 – 45 Lakh,"Small paint applications, compact parts, small booths",
Fanuc,P-40iA,,5,1300,6,±0.03 mm,₹30 – 55 Lakh,"Mid-small paint tasks, versatile mounting (floor/ceiling/wall)",Fanuc_P-40iA.png
Fanuc,P-50iB / P-50iB/10L,,10,1400–1800,6,±0.05–0.1 mm,₹45 – 75 Lakh,"Medium paint tasks, slightly larger reach & payload option",Fanuc_P-50iB___P-50iB_10L.png
Fanuc,P-250iB/15,,15,2800,6,±0.07–0.2 mm,₹85 Lakh – 1.4 Cr,"Mid-to-large paint jobs (car panels, larger parts)",Fanuc_P-250iB_15.jpeg
Fanuc,P-350iA/45,,45,2606,6,±0.06–0.1 mm,₹1.0 – 2.0 Cr+,Heavy payload paint robot for large fixtures or multi-gun setups,Fanuc_P-350iA_45.png
Fanuc,P-1000iA,,10–15,3348–339,7,±0.08 mm,₹1.2 – 2.2 Cr+,"Large reach, 7-axis flexible paint layout (booth reduction)",Fanuc_P-1000iA.png
Fanuc,CRX-10iA/L Paint (cobot),,10,1418–2836 (workspace variable),6,±0.04 mm,₹30 – 60 Lakh (cobot class),"Collaborative paint cell, explosion-proof option",Fanuc_CRX-10iA_L_Paint__cobot.png
Fanuc,LR Mate 200iD,,7–14,717–1274,6,±0.01 mm,₹30 – 70 L*,"Compact finish/handling robot; used for light deburring, polishing, mold release spray, precise small parts.",Fanuc_LR_Mate_200iD.png
Fanuc,M-20iD/25,,25,1853*,6,±0.05 mm*,₹70 L – ₹1.2 Cr*,"Mid payload industrial robot often used for deburring/grinding, contour following with force control",Fanuc_M-20iD_25.png
Fanuc,M-20iD/35,,35,1831,6,±0.03 mm*,₹80 L – ₹1.5 Cr*,Similar to M-20iD/25 but higher payload; good for heavy finishing tasks,Fanuc_M-20iD_35.png
Fanuc,M-710iC-20,,20–30,2000-2200*,6,±0.05–0.10 mm,₹1.0 – ₹2.0 Cr*,"Medium-range general industrial robot; material removal, machining support & finishing.",Fanuc_M-710iC-20.jpeg
Fanuc,"FANUC R-2000iC (e.g., 165/210/270)",,165–270,2655–4304 (varies),6,±0.03–0.05 mm,₹2.0 – ₹4.5 Cr*,"Heavy duty arm used in large part deburring/grinding, press-to-press handling, heavy fixtures.",Fanuc_FANUC_R-2000iC__e_g___165_210_270.png
Fanuc,CRX-10iA / CRX-20iA/L / CRX-30iA (Cobots),,10–30,~994 – ~1756,,±0.04–0.05 mm,₹30 – ₹90 L*,"Collaborative robot line; can be used for light deburring/polishing/finish with material removal tooling (PushCorp Grind X, etc.).",Fanuc_CRX-10iA___CRX-20iA_L___CRX-30iA__Cobots.jpeg
Yaskawa,AR900,Arc,7,927,6,±0.01 mm,₹12 – 18 lakh,,Yaskawa_AR900.jpeg
Yaskawa,AR1440,Arc,12,1440,6,±0.02 mm,₹15 – 22 lakh,,Yaskawa_AR1440.jpeg
Yaskawa,AR2010,Arc,12,2010,6,±0.03 mm,₹18 – 26 lakh,,Yaskawa_AR2010.jpeg
Yaskawa,GP25,Arc / handling,25,1730,6,±0.02 mm,₹16 – 24 lakh,,Yaskawa_GP25.jpeg
Yaskawa,SP series,Spot welding,80–250,2600–3000,6,±0.04 mm,₹18 – 28 lakh,,Yaskawa_SP_series.png
Yaskawa,PL190-100,,100,3159,4,±0.10 mm,₹25 – 35 lakh,"High-speed palletizing of light cartons, boxes and bags in packaging and logistics cells. Excellent for FMCG, food & beverage",Yaskawa_PL190-100.jpeg
Yaskawa,PL190,,190,3159,4,±0.10 mm,₹28 – 38 lakh,Standard palletizing across many mid-weight applications — robust general use in packaging & distribution.,Yaskawa_PL190.jpeg
Yaskawa,PL320,,320,3159,4,±0.20 mm,₹35 – 50 lakh,"Mid-heavy palletizing — boxes, crates, packages where 190 kg isn’t enough. Great reach and stable handling.",Yaskawa_PL320.png
Yaskawa,PL500,,500,3159,4,±0.20 mm,₹45 – 65 lakh,Heavy palletizing — large boxed goods or sacks for warehouse and industrial end-of-line automation.,Yaskawa_PL500.jpeg
Yaskawa,MPX1150,,5,727,6,±0.02–0.03 mm,₹30 – 55 Lakh,"Compact paint robot for small parts, tight booths.",Yaskawa_MPX1150.jpeg
Yaskawa,MPX1950,,7,1450,6,±0.15 mm,₹45 – 75 Lakh,Medium painting robot; fits multiple guns/bells,Yaskawa_MPX1950.jpeg
Yaskawa,MPO10,,10,1400,6,±0.15 mm*,₹60 – 90 Lakh,Door opening & paint assist robot; often used in auto paint shops.,Yaskawa_MPO10.jpeg
Yaskawa,MPX2600 / MPX3500,,≤ 15,2000 – 2700,6,±0.15 mm,₹90 Lakh – ₹1.5 Cr+,"Mid-to-large exterior paint jobs (car bodies, larger components).",Yaskawa_MPX2600___MPX3500.jpeg
Yaskawa,MPX Series Others (higher reach),,≤ 15,up to ~3500,6,±0.15 mm,₹1.2 – ₹2.0 Cr+,Large application painting cells; extended envelope.,Yaskawa_MPX_Series_Others__higher_reach.png
Yaskawa,Yaskawa Deburring Robot images,,,,,,,,
Yaskawa,HC10 / HC10L,,10,1000–1300,6,±0.02–0.05 mm,₹35 – 70 Lakh,"Compact high-speed robot, ideal for light deburring, polishing, small parts finishing.",Yaskawa_HC10___HC10L.jpeg
Yaskawa,MH12,,12,1300,6,±0.05 mm,₹45 – 85 Lakh,"Good medium payload, precise finishing and contour grinding.",Yaskawa_MH12.jpeg
Yaskawa,MH24,,24,2400,6,±0.07 mm,₹60 L – ₹1.2 Cr,Longer reach for medium/large parts; suitable for grinding & surface finishing.,Yaskawa_MH24.png
Yaskawa,MA1400,,12,1412,6,±0.05 mm,₹55 – ₹1.0 Cr,Popular mid-size general purpose robot adapted for deburring/grinding cells.,Yaskawa_MA1400.jpeg
Yaskawa,MA2010,,20,2023,6,±0.07 mm,₹80 L – ₹1.5 Cr,Larger workplace envelope; heavier tools and finish spindles.,Yaskawa_MA2010.jpeg
Yaskawa,MH50 / MH50S,,50,3000,6,±0.10 mm,₹1.0 – ₹2.0 Cr+,Heavy payload finish robot; big parts / heavy material removal.,Yaskawa_MH50___MH50S.jpeg
Yaskawa,HP20 / HP20XL,,20,1940–2940,6,±0.08 mm,₹75 L – ₹1.5 Cr,"High payload & reach balance; finishing of large castings, weld seams.",
Yaskawa,EA1900N / EA1900H (EX series),,20,1900,6,±0.08 mm,₹70 L – ₹1.4 Cr,EX series robust robot used in industrial finishing & material removal.,Yaskawa_EA1900N___EA1900H__EX_series.png
Yaskawa,GP8 / GP12 (cobot / lightweight),,8–12,800–1200,6,±0.03–0.05 mm,₹30 – ₹70 Lakh,"For light deburring, polishing, automation with human collaboration.",Yaskawa_GP8___GP12__cobot___lightweight.jpeg
KUKA,KR CYBERTECH Arc,Arc,6–20,1610–2010,6,±0.04 mm,₹14 – 20 lakh,,KUKA_KR_CYBERTECH_Arc.png
KUKA,KR 16 / KR 30,Arc,16–30,1800–2100,6,±0.04 mm,₹18 – 30 lakh,,KUKA_KR_16___KR_30.jpeg
KUKA,KR 210 / KR 240,Spot & heavy welding,210–240,2900,6,±0.06 mm,₹35 – 55 lakh,,KUKA_KR_210___KR_240.jpeg
KUKA,KR 40 PA,,40,2091,4,±0.05 mm,₹18 – 25 lakh,"Fast stacking of light goods (boxes, cartons) with compact footprint.",KUKA_KR_40_PA.jpeg
KUKA,KR 120 R3200 PA,,120,3195,4,±0.05 mm,₹28 – 38 lakh,Medium-load palletizing — good for FMCG and logistics boxes.,KUKA_KR_120_R3200_PA.jpeg
KUKA,KR 240 PA,,240,3195,4,±0.06 mm,₹40 – 55 lakh,Mid-heavy palletizing applications (larger cartons/bags).,KUKA_KR_240_PA.png
KUKA,KR 300-2 PA,,300,3150,4,±0.06 mm,₹45 – 60 lakh,High-speed medium-heavy palletizing with efficient reach.,KUKA_KR_300-2_PA.png
KUKA,KR 470-2 PA,,470,3150,4,±0.06 mm,₹55 – 75 lakh,Heavy palletizing — larger loads and industrial packaging.,KUKA_KR_470-2_PA.jpeg
KUKA,KR 700 PA,,700,3320,4,±0.06 mm,₹70 – 95 lakh,Very heavy palletizing — full pallet layers and large crates.,KUKA_KR_700_PA.png
KUKA,KR 1000 Titan PA / KR 1000 1300 Titan PA,,950–1300,3202–3601,4,±0.10 mm,₹1.2 – 1.8 crore,Ultra-heavy palletizing — largest loads and industrial stacking.,
KUKA,KR 4 AGILUS,,4,600,6,±0.02 mm,₹30 – 55 Lakh,Compact spray painting & coating of small parts; tight spaces; small booths,KUKA_KR_4_AGILUS.jpeg
KUKA,KR 6 R700 / R900 AGILUS,,6–8,700 – 900,6,±0.02–0.03 mm,₹35 – 60 Lakh,Small-to-medium coating tasks; high precision; EX / explosion-proof variants available,KUKA_KR_6_R700___R900_AGILUS.jpeg
KUKA,KR 10 R1100 AGILUS / EX,,10,1100,6,±0.02–0.03 mm,₹50 – 85 Lakh,Slightly larger small paint jobs; interior panels / sub-assembly painting,KUKA_KR_10_R1100_AGILUS___EX.png
KUKA,KR CYBERTECH / CYBERTECH nano,,8 – 12 est,1400 – 2100 est,6,±0.04 mm typical,₹65 Lakh – ₹1.2 Cr,"Mid-range flexible robot; good for medium parts, irregular shapes, automotive add-ons",KUKA_KR_CYBERTECH___CYBERTECH_nano.jpeg
KUKA,KR IONTEC (large range),,20 – 70 est,2000 – 3100 est,6,±0.06–0.15 mm,₹1.0 – ₹2.5 Cr,Large reach & payload for bigger body panels & large fixtures,KUKA_KR_IONTEC__large_range.jpeg
KUKA,KR QUANTEC (PA option),,120 – 300 est,3000 – 3900 est,6,±0.06–0.15 mm,₹1.2 – ₹3.0 Cr,High payload / long reach (with linear axis possible); heavy exterior paint jobs (needs custom painting head),KUKA_KR_QUANTEC__PA_option.jpeg
